Frame_ID,Capture_ms,Encode_Send_ms,Network_ms,Decode_ms,YOLO_ms,Lane_ms,Decision_ms,Send_ms,GPIO_ms,Total_ms
561,2.493,5.083,8.737,1.582,231.086,6.994,0.012,0.147,0.017,256.246
562,2.504,5.043,9.762,1.185,315.761,7.534,0.016,0.166,0.017,342.089
563,2.531,5.093,8.81,1.206,238.402,6.964,0.015,0.149,0.016,263.279
564,2.514,5.114,9.85,1.564,230.944,8.981,0.014,0.286,0.017,259.38
565,2.514,5.064,9.317,1.245,229.095,3.253,0.032,0.152,0.018,250.783
566,2.54,5.077,8.943,1.203,230.883,3.057,0.016,0.137,0.018,251.976
567,2.488,5.055,10.393,1.453,235.796,3.43,0.023,0.177,0.017,258.918
568,2.525,5.083,8.889,1.332,229.267,3.378,0.017,0.148,0.018,250.744
569,2.56,5.132,8.72,1.366,240.006,3.286,0.017,0.139,0.017,261.327
570,2.506,5.137,10.02,1.25,228.81,4.102,0.021,0.148,0.017,252.091
571,3.839,5.54,10.214,1.24,231.827,3.475,0.021,0.15,0.017,256.412
572,2.507,5.116,10.464,1.341,239.172,7.977,0.016,0.161,0.017,266.852
573,2.517,5.132,9.979,1.231,230.122,3.831,0.018,0.154,0.037,253.165
574,3.555,14.958,9.439,1.359,228.169,3.394,0.016,0.146,0.024,261.193
575,3.568,15.077,11.257,1.254,232.387,4.1,0.027,0.212,0.018,268.038
576,2.506,5.127,10.408,1.503,242.782,3.977,0.017,0.141,0.017,266.562
577,2.518,5.175,10.059,1.318,234.47,8.638,0.017,0.322,0.028,262.659
578,2.88,5.419,10.46,1.391,229.384,8.307,0.015,0.16,0.017,258.155
579,2.504,5.216,9.275,1.477,227.256,7.201,0.013,0.148,0.017,253.203
580,2.521,5.106,9.6,1.399,236.851,11.165,0.027,0.174,0.018,266.954
581,2.504,5.164,9.878,1.305,233.557,7.549,0.024,0.154,0.017,260.252
582,3.744,5.25,9.659,1.267,233.074,4.828,0.027,0.165,0.017,258.141
583,2.508,5.15,8.854,1.256,228.935,4.919,0.035,0.158,0.017,251.933
584,2.503,5.158,11.184,1.245,243.02,16.406,0.035,0.216,0.018,279.868
585,2.505,5.136,9.206,1.242,229.432,7.674,0.036,0.188,0.018,255.54
586,2.509,5.16,9.957,1.222,242.237,12.555,0.025,0.16,0.016,273.939
587,2.504,5.16,9.484,1.638,227.907,7.709,0.026,0.164,0.017,254.715
588,2.529,5.145,10.465,1.287,234.037,16.375,0.025,0.241,0.017,270.221
589,3.8,5.383,9.991,1.58,239.827,8.8,0.025,0.186,0.018,269.721
590,2.542,5.151,8.614,1.241,228.319,13.285,0.024,0.253,0.017,259.547
591,2.501,5.152,9.288,1.406,236.202,14.301,0.024,0.217,0.018,269.212
592,2.525,5.328,9.929,1.35,241.98,17.914,0.036,0.253,0.017,279.432
593,2.491,5.131,11.12,1.27,228.573,13.455,0.034,0.169,0.029,262.438
594,3.253,12.909,10.608,2.121,226.776,13.747,0.024,0.165,0.018,269.74
595,2.486,5.112,8.879,1.32,230.939,11.697,0.026,0.177,0.017,260.754
596,3.868,5.577,9.578,1.43,237.221,17.651,0.051,0.245,0.018,275.758
597,3.394,5.586,9.416,1.411,228.653,8.197,0.029,0.162,0.017,256.979
598,2.54,5.145,9.665,1.203,236.944,3.234,0.015,0.152,0.018,259.021
599,2.507,5.175,8.68,1.256,227.967,7.882,0.014,0.146,0.017,253.735
600,2.483,5.174,10.269,1.357,233.669,12.953,0.021,0.206,0.017,266.244
601,2.53,5.13,10.21,1.769,235.444,15.456,0.024,0.163,0.017,270.836
602,2.501,5.164,9.158,1.256,230.121,7.971,0.025,0.161,0.018,256.476
603,2.509,5.202,9.017,1.305,231.092,8.802,0.026,0.164,0.018,258.235
604,2.506,5.243,10.595,1.336,231.139,3.993,0.017,0.153,0.017,255.104
605,2.506,5.171,9.632,1.929,239.939,3.818,0.016,0.135,0.018,263.263
606,4.949,5.331,9.38,1.234,233.281,4.393,0.018,0.185,0.017,258.874
607,4.217,5.426,9.752,1.367,240.234,3.128,0.015,0.135,0.018,264.378
608,2.531,5.15,8.613,1.284,233.432,3.355,0.017,0.132,0.017,254.615
609,2.546,5.218,9.767,1.415,237.272,5.243,0.045,0.154,0.017,261.759
610,2.502,5.149,10.784,1.277,235.638,4.186,0.021,0.192,0.017,259.883
611,2.528,5.204,8.609,1.339,239.08,5.051,0.026,0.184,0.017,262.122
612,2.496,5.131,9.101,1.226,241.737,3.272,0.017,0.154,0.036,263.29
613,3.594,15.112,9.936,1.563,237.901,2.923,0.015,0.14,0.024,271.329
614,4.04,12.866,8.74,1.388,229.273,2.854,0.015,0.148,0.018,259.447
615,2.504,5.141,10.146,1.269,228.99,3.594,0.022,0.137,0.017,251.905
616,2.489,5.192,9.619,1.216,229.958,3.744,0.017,0.146,0.017,252.482
617,2.514,5.112,9.273,1.201,241.56,8.662,0.016,0.447,0.016,268.886
618,3.646,5.355,10.393,1.22,233.213,9.474,0.097,0.185,0.112,263.792
